Start,End,Status
253,259,Pause
265,270,Pause
293,310,Pirouette
442,456,Pirouette
519,528,Turn
535,543,Turn
608,630,Pirouette
630,637,Pause
643,647,Undefined
655,659,Undefined
659,666,Turn
669.0,677.0,Turn
801,822,Undefined
962,970,Turn
1054,1065,Turn
1068,1074,Turn
1089,1098,Undefined
1110,1126,Pirouette
1127,1151,Undefined
1213,1221,Turn
1222,1240,Pirouette
1249,1256,Pause
1255,1266,Turn
1280,1286,Undefined
1404,1416,Undefined
1433,1441,Undefined
1493,1512,Pirouette
1516,1524,Turn
1550,1568,Undefined
1575,1580,Undefined
1601,1614,Undefined
1624,1643,Pirouette
1644,1652,Turn
1652,1656,Undefined
1705,1712,Turn
1748,1756,Turn
1773,1780,Turn
1814,1822,Undefined
1835,1845,Pirouette
1881,1910,Pirouette
1911,1958,Pirouette
1958,1980,Undefined
1984,1993,Turn
2017,2038,Pirouette
2069,2079,Turn
2096,2103,Turn
2103,2111,Undefined
2163,2170,Undefined
2190,2197,Turn
2204,2209,Turn
2214,2223,Turn
2372,2382,Pirouette
2382,2387,Undefined
2495,2547,Undefined
2596,2606,Turn
2606,2610,Undefined
2771,2800,Pirouette
2847,2918,Undefined
2918,2947,Pirouette
3038,3068,Undefined
3199,3212,Undefined
3248,3256,Turn
3288,3295,Undefined
